queue_count,avg_service_time,active_counters,hour_of_day,day_of_week,actual_wait
250,15.12,6,17,4,581.24
78,19.56,5,17,5,323.13
183,2.91,6,9,0,75.21
145,4.11,1,16,4,610.2
157,2.48,1,15,5,393.47
225,9.36,1,10,3,2254.65
183,15.3,5,11,3,497.43
197,4.91,2,14,3,458.2
90,14.25,6,11,3,216.52
187,12.36,1,16,3,2442.89
90,13.7,2,12,5,629.54
242,19.86,2,15,5,2677.57
127,5.59,3,12,2,235.9
76,7.99,4,10,1,163.15
161,19.75,1,15,6,3634.67
230,14.01,3,16,3,1181.63
25,4.51,2,9,0,56.32
92,15.69,5,13,6,346.76
71,4.49,6,16,5,56.02
147,15.14,7,9,0,314.66
153,11.64,2,11,0,1007.56
123,7.19,1,10,0,815.57
137,15.3,6,11,2,326.04
164,7.48,5,11,5,184.32
232,12.32,4,11,0,845.52
148,19.12,3,9,3,813.76
148,17.42,5,11,4,596.54
156,11.02,7,10,0,274.6
118,13.87,2,17,2,778.83
173,7.54,3,16,6,437.81
90,9.23,5,14,5,171.71
122,2.25,1,15,2,247.49
82,2.61,7,9,0,29.94
64,6.5,5,15,5,82.8
215,5.84,3,16,4,434.71
277,5.86,4,16,0,352.24
187,14.97,6,14,2,511.89
87,19.8,6,15,1,275.11
163,3.41,5,10,3,107.82
145,4.74,3,12,6,234.29
197,17.24,3,16,2,1042.02
158,10.22,1,12,5,1756.55
179,19.65,2,16,0,1459.33
209,11.24,6,12,3,402.14
132,4.3,7,17,0,73.59
152,11.1,7,9,5,258.35
223,4.75,7,14,0,150.48
51,4.51,4,9,1,59.65
3,6.92,3,14,3,6.89
277,19.42,2,12,3,2518.67
145,5.52,3,16,5,181.35
77,14.64,4,16,6,297.37
227,16.2,5,17,1,811.37
225,16.01,5,15,2,665.32
144,15.52,4,16,0,623.22
111,10.42,6,11,4,205.2
141,9.19,2,12,0,674.74
82,18.83,6,12,0,228.58
3,12.47,1,14,2,37.04
92,13.74,4,15,0,338.53
191,7.07,4,17,1,333.51
88,7.61,2,14,1,298.43
129,3.39,4,10,3,122.88
38,16.67,1,15,5,715.54
61,17.7,7,17,6,152.75
49,5.82,7,16,4,35.2
85,15.8,7,12,0,202.67
166,12.37,2,10,0,1093.03
120,12.44,7,16,2,217.18
192,2.67,4,14,5,145.13
72,11.07,3,16,1,242.78
75,16.14,1,17,4,1113.72
41,7.3,3,11,3,90.95
51,2.02,1,16,1,106.04
100,9.04,4,16,5,230.82
58,15.11,2,13,6,466.33
128,16.28,4,14,3,483.77
79,6.49,6,13,6,82.11
81,8.16,2,14,2,317.93
137,2.98,6,9,2,77.79
69,4.65,1,10,0,370.92
152,8.32,7,16,6,186.97
50,6.25,5,9,5,60.27
117,4.36,3,17,4,164.83
129,4.48,5,15,3,127.73
121,8.61,7,9,1,153.34
175,8.38,1,13,5,1422.12
105,6.95,7,10,5,96.33
149,7.56,2,9,2,530.27
7,19.76,3,9,6,48.67
193,6.96,1,13,0,1530.79
214,4.2,7,12,0,137.46
86,5.73,3,13,3,183.59
122,17.96,5,14,2,400.55
27,14.22,1,9,5,408.05
76,6.07,5,10,4,97.49
242,6.64,2,10,2,765.12
179,2.25,7,13,3,57.87
122,7.44,4,17,3,218.36
236,19.43,7,15,2,658.81
106,12.51,1,12,3,1184.44
184,10.53,5,13,2,436.46
152,17.49,5,15,1,584.67
229,17.13,6,17,2,687.45
112,7.63,4,15,6,183.52
79,16.82,2,10,2,676.12
236,4.1,6,12,3,185.43
146,18.45,1,12,6,2689.99
48,19.6,2,17,3,495.83
209,9.99,6,16,0,365.75
238,13.86,3,14,0,1045.09
159,19.34,4,16,6,690.78
154,14.39,7,15,1,280.13
102,16.24,2,16,0,778.72
98,5.82,5,15,2,112.73
130,2.5,6,10,3,54.23
195,10.1,4,14,0,370.62
157,18.89,1,12,0,3561.42
201,3.59,7,12,1,117.69
114,5.65,1,14,6,619.71
152,7.82,2,16,6,531.97
171,6.81,6,13,5,191.74
73,5.88,5,11,1,88.5
134,5.75,5,9,2,132.51
124,7.07,2,13,6,436.77
211,16.95,3,11,3,1059.83
168,19.78,6,11,1,569.52
228,13.34,3,12,0,989.02
84,5.15,6,17,3,63.42
179,2.16,2,12,3,219.49
227,17.7,7,13,0,596.79
149,6.78,5,13,1,212.79
70,4.46,1,9,0,316.01
225,7.63,6,15,5,274.94
198,5.49,1,10,3,1087.32
44,16.16,6,14,4,125.02
118,6.67,5,12,4,142.09
113,12.84,4,13,2,367.99
211,12.48,4,13,6,623.15
210,8.68,6,12,0,265.59
131,3.28,7,10,0,54.17
100,12.11,4,16,2,319.54
2,19.5,7,9,2,6.55
182,6.81,2,17,2,695.53
132,14.21,3,14,3,758.43
164,4.44,2,12,5,367.37
91,11.81,4,14,0,255.16
205,15.45,4,17,3,809.42
164,2.69,5,17,2,93.88
159,16.83,1,11,0,2705.36
163,4.27,5,16,3,134.2
105,9.9,2,9,5,630.18
98,8.68,2,17,3,414.39
89,9.55,2,15,5,393.04
110,13.33,4,15,2,414.75
29,12.05,3,14,5,119.18
121,14.64,7,9,0,234.09
200,12.71,1,10,2,2670.4
222,11.4,3,11,0,663.51
168,14.77,4,9,4,606.43
64,12.88,7,13,1,110.28
255,15.87,3,13,5,1344.77
131,7.4,7,14,1,128.7
145,9.83,5,15,1,264.47
233,2.16,5,17,5,84.54
238,3.75,5,15,2,215.3
71,10.86,3,14,4,242.72
93,2.77,5,17,0,46.84
208,7.62,7,10,3,216.63
129,13.31,3,14,0,619.94
252,16.84,7,13,3,620.61
98,17.54,2,14,0,744.83
111,14.97,3,9,5,547.99
283,11.14,2,13,4,1670.65
153,15.01,3,16,3,748.26
214,16.6,2,11,6,1646.01
206,19.84,3,11,2,1430.91
101,5.55,6,15,0,90.4
162,4.0,2,15,0,343.84
119,8.29,7,10,3,143.71
208,2.48,7,16,2,59.57
156,3.16,5,13,2,101.73
206,12.04,2,17,5,1167.51
89,11.72,6,9,6,205.25
67,5.8,1,12,5,447.25
188,8.23,7,16,5,230.13
218,19.04,6,17,5,678.34
202,3.32,1,17,5,812.98
35,5.18,6,9,5,31.15
42,18.18,1,9,4,771.09
146,15.17,2,15,2,1150.2
189,15.34,4,14,5,709.08
104,18.04,6,15,2,371.39
194,17.03,6,16,2,469.87
48,13.64,7,14,1,101.4
243,17.8,4,15,4,1214.69
185,3.19,3,15,5,199.7
198,6.39,6,15,0,220.02
179,3.67,7,10,3,98.15
90,2.67,7,11,6,26.24
161,3.37,5,17,0,100.33
230,8.19,4,9,4,486.47
92,4.96,4,16,3,110.57
220,11.41,3,15,4,977.63
100,2.44,3,14,2,88.44
41,13.78,4,9,3,141.65
203,19.64,2,17,2,1873.71
186,13.42,4,10,0,638.26
196,2.46,7,13,0,55.11
69,17.18,3,17,3,434.08
176,3.11,3,16,3,165.14
62,4.48,6,12,5,53.03
79,17.33,6,16,4,225.07
63,15.95,5,17,5,226.22
246,14.8,6,13,4,608.2
154,9.81,5,9,5,226.67
87,8.93,5,14,2,157.71
144,18.01,3,12,3,803.55
168,11.17,4,14,0,435.96
177,7.11,7,9,4,163.69
257,10.65,4,12,4,735.97
164,14.47,7,13,0,281.42
123,13.89,2,14,5,939.45
257,3.59,1,13,4,1007.77
154,9.73,4,10,6,396.23
132,18.63,6,11,2,444.51
136,10.53,2,13,3,688.91
195,4.14,4,15,0,222.97
238,12.0,6,12,3,557.01
192,17.54,4,14,6,820.57
126,15.42,4,17,4,515.91
75,8.6,1,15,4,683.41
248,19.04,7,11,6,720.81
103,3.26,1,13,0,336.53
130,9.45,7,17,2,183.48
220,8.85,6,13,1,368.7
133,11.04,5,11,0,271.04
74,3.52,7,16,1,35.94
204,14.56,6,15,6,510.38
75,16.39,5,13,5,273.05
178,7.53,7,13,1,167.93
181,15.37,4,9,2,735.51
188,5.49,4,16,5,238.73
90,3.75,5,14,1,59.27
240,17.68,7,13,6,610.64
197,12.72,5,15,5,490.3
39,3.84,5,10,6,28.41
110,13.18,6,11,1,244.84
152,9.94,3,17,6,523.05
95,13.98,4,13,2,333.61
137,14.96,3,14,1,622.13
149,12.5,1,16,1,1965.01
150,7.43,5,11,1,243.45
104,5.4,1,9,0,626.81
184,9.05,3,12,0,620.32
232,13.02,1,10,0,3326.85
158,2.13,6,17,2,43.14
178,13.5,6,12,5,378.17
94,14.02,3,17,6,396.98
109,18.44,7,15,4,339.15
84,10.46,1,15,1,864.69
123,11.5,6,9,6,236.04
175,11.75,7,10,1,313.84
205,18.1,2,15,2,1878.6
127,16.0,7,13,1,283.2
82,9.58,3,15,0,301.47
184,7.6,1,11,4,1181.82
133,3.55,3,16,3,121.15
144,15.82,2,12,1,1068.37
67,14.16,7,16,6,141.96
158,6.83,4,14,0,270.29
135,11.2,2,17,3,828.68
134,15.77,1,14,4,1940.41
126,2.22,6,12,3,49.68
190,13.03,1,11,0,2488.02
137,7.27,5,12,5,200.77
225,9.15,5,15,5,418.99
118,13.47,3,16,3,526.14
226,16.36,7,10,2,562.65
136,19.63,4,17,6,665.92
146,12.56,6,15,6,284.79
91,7.87,1,15,3,681.36
144,6.83,3,12,1,357.13
149,15.03,3,15,1,705.03
75,12.64,1,10,6,912.86
206,14.71,6,11,6,624.89
137,11.01,7,10,5,201.29
69,4.1,3,13,2,96.34
132,14.33,7,9,0,238.99
125,11.9,6,10,1,254.26
156,4.01,5,14,6,137.54
75,4.21,2,14,5,152.3
118,16.24,4,16,4,495.43
149,18.13,4,17,5,613.03
82,19.83,6,17,1,254.52
120,12.15,3,15,1,483.9
21,6.61,4,9,5,38.13
283,17.55,2,12,0,2435.48
201,4.86,6,15,3,126.48
52,11.58,1,10,1,540.22
210,3.71,7,17,5,107.04
191,13.52,1,9,6,2250.57
173,19.05,7,17,5,431.34
170,18.73,7,15,2,466.39
128,13.51,5,14,3,359.91
77,7.69,4,15,4,159.69
261,17.79,4,10,0,959.71
168,7.73,5,10,4,256.21
159,5.99,5,11,3,164.42
51,7.32,6,14,3,62.81
53,18.34,1,9,3,1037.66
76,4.38,5,12,4,64.67
118,11.04,1,16,6,1152.67
215,11.85,5,16,3,578.7
103,14.41,4,13,5,319.36
113,9.47,6,15,4,153.74
255,19.44,6,13,3,725.26
42,15.37,4,12,5,172.5
103,17.03,1,14,6,1630.7
184,4.97,5,16,2,188.13
95,5.34,6,9,6,103.67
139,12.67,3,11,3,559.74
109,4.87,4,12,4,138.9
70,6.62,2,13,1,269.71
38,10.4,4,9,3,101.21
236,12.24,7,17,1,481.07
128,13.67,4,16,5,413.32
134,18.94,5,10,2,438.39
198,13.63,5,13,0,550.96
215,2.14,6,17,6,58.4
125,11.68,1,11,2,1368.26
221,13.99,4,13,3,818.78
232,19.09,7,17,1,636.37
45,16.75,7,14,6,109.05
167,4.11,4,13,1,189.71
176,4.07,4,16,4,176.97
123,17.77,6,13,1,394.32
259,5.42,2,17,4,758.66
182,11.43,2,11,5,1085.95
163,7.76,3,9,6,436.97
100,5.17,7,12,6,77.06
300,16.47,3,15,0,1376.32
46,12.32,7,11,3,83.98
300,16.53,3,16,4,1535.95
300,19.61,6,10,0,1106.1
225,15.07,5,17,1,627.82
147,19.39,4,11,1,677.55
100,11.87,3,14,0,435.62
207,10.33,7,15,6,255.98
169,6.37,1,13,1,1021.27
212,6.38,1,13,5,1337.28
72,12.57,5,9,5,177.24
158,11.82,4,12,0,449.95
31,19.24,3,9,4,205.02
182,14.43,6,17,4,496.58
167,16.15,1,17,0,2231.77
170,16.63,1,13,4,2202.53
72,2.19,1,13,6,137.58
101,7.64,5,13,6,139.01
215,11.66,7,15,4,391.29
33,3.17,2,14,5,48.86
62,9.96,6,10,4,104.39
210,13.49,4,11,6,747.29
109,19.98,2,13,2,1018.47
218,18.59,2,15,3,2204.6
245,19.79,4,10,1,1158.28
130,7.97,3,12,2,318.77
222,9.24,6,9,4,299.1
129,17.73,4,15,5,645.56
146,3.53,7,10,0,84.83
136,12.37,4,16,4,367.6
188,10.19,1,9,5,1520.51
72,11.5,1,10,3,801.87
171,4.77,7,16,4,127.52
107,16.15,6,13,6,298.47
89,7.16,5,13,0,147.35
86,14.75,7,15,5,166.26
179,17.71,7,12,5,435.53
67,12.25,1,17,5,843.77
101,6.57,1,11,3,736.14
273,7.92,7,16,4,278.31
72,12.1,1,11,3,809.14
114,8.14,2,16,1,452.27
52,19.26,4,9,1,276.88
174,9.38,6,15,4,234.77
175,3.26,4,9,6,140.29
107,7.57,1,10,3,816.47
244,10.37,4,9,0,667.4
113,12.2,5,11,5,252.15
211,14.33,5,17,5,545.49
66,14.81,2,9,4,430.66
61,7.58,7,11,6,64.97
126,18.13,6,10,1,353.68
136,5.42,2,13,1,357.18
205,4.42,4,15,5,216.1
182,18.66,2,14,4,1616.91
107,5.54,4,13,3,182.89
105,9.18,3,11,1,312.5
80,12.43,1,15,3,846.16
235,10.66,5,17,6,581.17
178,19.46,3,10,1,1422.12
32,12.45,6,14,1,69.49
237,14.8,1,13,2,3531.69
205,11.66,7,17,1,345.69
189,17.06,7,16,0,396.1
236,10.01,5,17,4,509.7
116,7.03,3,15,4,246.51
26,12.97,4,13,3,88.33
177,13.33,3,12,6,836.59
131,13.53,1,16,1,1871.88
187,10.88,5,10,0,401.75
180,18.19,7,9,3,465.29
177,2.46,3,11,2,143.15
88,6.31,3,15,3,178.74
102,14.97,5,9,3,278.33
219,14.75,1,13,1,2838.07
243,7.94,4,13,2,484.91
88,2.95,2,11,3,134.29
47,4.68,6,9,0,36.19
112,11.47,2,13,0,557.07
155,3.78,5,16,4,112.98
220,18.02,5,17,2,793.14
50,2.07,6,14,2,16.18
70,15.55,3,9,4,370.47
89,3.23,6,13,3,47.6
238,14.64,5,10,2,717.09
146,14.91,4,9,0,473.65
278,8.22,4,11,0,506.36
38,5.11,4,13,1,45.12
233,14.08,6,17,2,565.11
138,15.77,1,15,3,1883.39
74,14.06,6,14,4,198.15
241,11.65,2,17,4,1439.36
112,8.61,2,14,3,522.85
142,6.98,2,12,6,457.22
237,19.04,7,15,5,621.17
100,16.41,6,10,1,234.49
141,6.96,5,10,4,220.44
65,7.13,4,14,2,121.59
201,19.05,4,13,1,923.0
156,13.81,4,14,2,538.98
203,4.08,6,10,6,123.57
59,2.48,7,10,0,19.73
82,2.45,1,9,1,217.01
173,14.36,4,10,4,615.23
114,17.61,2,15,1,1138.52
113,5.41,4,10,1,146.35
204,3.7,3,11,1,325.13
133,4.0,1,14,5,614.72
166,15.81,3,14,1,974.52
227,18.21,7,17,2,522.18
109,5.57,5,10,0,119.99
239,2.19,4,15,6,131.71
107,3.64,7,9,3,53.48
125,15.41,6,14,1,314.55
266,3.79,6,17,4,159.66
121,8.44,1,16,1,1006.3
156,8.33,6,14,4,218.39
165,5.65,1,14,2,945.71
84,19.09,4,14,4,382.48
163,8.3,4,16,3,425.99
158,15.67,1,10,0,2256.15
126,17.76,5,17,4,531.56
120,14.82,4,16,4,417.44
260,5.21,1,10,0,1280.9
188,19.27,1,16,3,3154.17
139,16.6,6,9,1,425.27
236,12.78,5,14,4,626.09
107,6.59,6,14,0,112.91
193,3.56,1,17,2,586.88
247,12.94,5,17,0,649.38
58,15.89,5,13,2,155.32
111,7.64,2,9,3,447.66
108,4.3,5,9,1,84.38
79,5.33,3,15,0,136.37
163,15.3,4,12,6,632.03
206,17.86,4,17,6,907.13
200,19.44,2,11,5,1954.71
153,12.58,4,14,4,444.49
101,15.68,6,17,3,233.85
234,8.65,3,12,0,688.71
128,16.02,5,13,6,500.36
174,12.07,5,13,4,480.68
224,18.38,3,13,6,1278.39
157,5.93,4,10,0,233.28
161,15.18,6,10,2,371.19
75,13.14,3,9,0,355.93
107,17.15,1,9,5,1678.01
254,14.29,6,12,0,653.37
281,8.31,6,11,0,387.9
144,17.31,5,12,5,511.94
6,2.22,7,14,3,1.27
58,14.37,5,9,0,166.99
117,4.65,6,16,5,93.16
195,8.25,5,16,4,351.18
188,16.37,6,15,2,484.96
114,18.65,7,12,2,341.44
188,14.18,4,16,0,697.98
205,5.88,5,17,3,229.16
202,12.73,7,13,3,366.91
133,2.44,5,14,4,61.38
142,4.68,4,16,0,172.1
133,4.98,6,13,2,126.83
211,4.03,5,12,3,181.14
120,5.12,4,16,0,159.41
140,19.4,3,11,6,898.33
5,6.97,3,14,3,10.74
207,16.98,3,17,5,1105.15
76,7.98,5,14,6,110.61
154,17.28,2,17,3,1379.71
50,10.42,1,16,2,535.7
144,6.67,5,17,1,182.68
178,8.63,3,17,6,444.87
119,13.33,6,16,4,261.37
206,6.9,2,17,4,749.76
107,2.43,3,15,2,82.71
237,11.38,1,15,3,2452.02
126,13.36,4,12,0,387.76
124,15.01,4,9,3,391.29
215,5.81,2,15,2,603.17
281,13.28,2,16,4,2096.71
155,14.17,1,17,3,1865.26
238,5.99,7,9,4,180.32
222,15.75,4,17,6,789.51
186,19.29,6,15,0,448.13
201,19.3,4,15,6,815.62
233,15.38,5,11,4,646.55
58,8.3,4,9,4,108.47
250,12.09,4,15,1,676.26
105,3.25,7,16,1,43.35
131,8.96,1,14,6,1081.65
53,12.86,3,15,5,259.42
124,9.69,6,17,6,219.08
239,19.66,1,16,1,4626.44
149,4.46,3,13,4,249.81
110,13.68,1,12,2,1348.62
88,11.41,2,12,6,493.51
189,5.24,3,12,4,394.48
155,6.28,6,10,2,158.48
162,12.88,3,15,2,724.65
241,6.12,2,16,1,777.0
233,14.19,1,15,6,3876.17
149,14.03,2,16,3,1152.53
208,10.4,2,17,0,954.04
147,15.97,2,16,1,1237.71
237,18.72,1,13,1,5042.85
230,15.63,3,12,3,1013.99
207,19.73,4,13,0,991.91
173,16.96,6,9,4,387.32
25,13.57,5,13,5,78.81
84,3.11,2,14,6,114.33
223,17.35,2,17,5,2014.09
256,9.18,1,17,4,2000.17
136,18.68,1,11,1,2681.08
60,9.8,1,16,0,548.02
182,11.71,1,16,1,2118.13
97,13.07,3,17,2,405.82
196,6.05,3,9,1,363.36
87,16.79,7,13,1,244.11
168,2.04,5,13,4,55.92
185,10.91,4,15,4,500.19
232,4.83,6,16,4,174.03
192,12.46,2,15,5,971.8
101,7.85,1,14,2,655.7
182,4.57,2,12,4,495.86
149,7.31,6,17,0,141.93
236,12.2,7,10,5,377.7
29,18.46,2,14,3,276.11
92,6.25,2,14,0,274.27
110,11.53,4,12,6,319.5
89,4.41,4,11,6,101.5
74,7.28,4,11,0,154.19
267,7.93,3,10,4,835.5
107,5.7,2,11,3,302.89
53,12.67,7,12,3,92.04
158,7.57,6,12,5,215.07
161,13.1,1,15,3,2332.23
158,3.94,7,12,6,84.01
233,2.27,1,17,2,509.98
110,10.92,3,16,4,348.87
133,3.11,3,9,3,140.78
160,9.13,6,9,5,242.72
169,9.19,5,14,6,325.78
147,17.06,7,12,2,338.56
195,16.28,7,14,1,510.13
105,6.89,6,17,1,143.21
198,6.25,5,13,2,234.56
175,15.21,4,16,6,650.32
57,14.12,3,10,5,275.37
242,5.5,7,16,2,208.56
124,18.29,3,16,4,753.23
167,19.38,5,10,4,803.57
157,18.39,4,15,1,741.64
127,5.12,6,16,3,95.17
241,16.04,7,15,5,552.53
117,16.81,7,14,1,290.08
72,13.57,7,11,3,136.26
275,17.55,6,11,3,939.81
271,11.4,2,16,4,1660.67
138,2.87,1,12,6,357.94
247,9.03,2,16,0,1071.18
142,3.79,7,14,6,66.48
131,17.14,7,11,0,356.93
67,9.4,3,10,2,227.77
204,3.47,6,9,4,132.12
239,19.14,2,12,3,2526.19
75,19.42,6,16,5,231.41
225,14.81,5,12,0,587.06
93,18.75,5,16,6,340.96
224,6.48,2,16,3,674.57
79,4.7,6,9,0,60.51
124,3.21,2,14,0,216.03
128,7.27,5,16,0,184.99
222,17.01,4,16,5,1135.45
120,13.61,4,9,4,369.37
100,3.12,3,16,5,110.33
137,7.23,7,17,1,166.28
154,3.23,1,14,3,451.04
212,3.75,5,15,4,154.87
174,11.97,2,14,4,974.08
98,7.89,1,13,4,816.94
17,11.52,7,9,6,27.98
100,8.44,6,10,4,131.85
43,15.27,3,10,5,249.28
91,2.82,7,17,4,40.96
124,9.82,7,14,2,169.24
43,6.44,3,11,3,71.9
130,15.98,1,11,4,1863.51
168,8.1,5,10,3,270.95
64,6.09,3,15,2,117.15
35,6.31,6,9,2,36.56
44,4.87,4,9,3,55.73
154,10.83,2,11,0,884.24
49,4.69,1,9,1,201.62
150,2.11,1,11,6,371.23
172,14.9,4,17,0,736.64
150,17.24,7,15,0,416.37
227,7.7,7,17,5,217.21
226,14.03,6,15,6,514.55
26,5.61,7,17,6,21.39
223,17.58,7,11,0,519.06
88,8.47,3,15,4,214.08
167,8.05,6,14,5,246.51
78,15.84,3,10,5,378.55
152,9.15,3,14,2,504.03
133,12.58,1,11,6,1796.97
185,16.57,2,10,0,1523.9
107,14.89,1,13,2,1743.79
126,19.17,6,13,3,439.15
165,10.99,6,10,1,309.16
45,7.02,1,11,5,323.5
262,14.35,4,16,3,859.79
116,18.11,6,13,3,373.53
226,8.51,4,16,4,446.02
59,12.86,7,12,1,105.59
110,8.06,7,12,3,112.66
162,12.09,4,14,3,453.22
212,19.54,2,13,1,2298.77
182,18.73,5,13,1,737.07
109,14.94,4,17,3,420.63
83,13.41,3,14,1,397.43
120,11.11,1,11,3,1226.37
46,8.04,5,12,3,72.74
